127.0.0.1 - - [05/Jun/2023:15:42:14 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Jun/2023:15:42:14 +0900] "GET /cultureMemoProject/firstStep/start.jsp HTTP/1.1" 200 2676
0:0:0:0:0:0:0:1 - - [05/Jun/2023:15:42:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jun/2023:15:45:41 +0900] "GET /cultureMemoProject/firstStep/start.jsp HTTP/1.1" 200 2820
0:0:0:0:0:0:0:1 - - [05/Jun/2023:15:45:50 +0900] "GET /cultureMemoProject/firstStep/start.jsp HTTP/1.1" 200 2820
0:0:0:0:0:0:0:1 - - [05/Jun/2023:15:46:13 +0900] "GET /cultureMemoProject/firstStep/start.jsp HTTP/1.1" 200 2831
0:0:0:0:0:0:0:1 - - [05/Jun/2023:15:46:55 +0900] "GET /cultureMemoProject/firstStep/start.jsp HTTP/1.1" 200 2811
0:0:0:0:0:0:0:1 - - [05/Jun/2023:15:48:47 +0900] "GET /cultureMemoProject/firstStep/start.jsp HTTP/1.1" 200 2828
0:0:0:0:0:0:0:1 - - [05/Jun/2023:15:48:48 +0900] "GET /cultureMemoProject/firstStep/start.jsp HTTP/1.1" 200 2828
0:0:0:0:0:0:0:1 - - [05/Jun/2023:15:48:48 +0900] "GET /cultureMemoProject/firstStep/start.jsp HTTP/1.1" 200 2828
0:0:0:0:0:0:0:1 - - [05/Jun/2023:15:48:49 +0900] "GET /cultureMemoProject/firstStep/start.jsp HTTP/1.1" 200 2828
0:0:0:0:0:0:0:1 - - [05/Jun/2023:15:48:49 +0900] "GET /cultureMemoProject/firstStep/start.jsp HTTP/1.1" 200 2828
0:0:0:0:0:0:0:1 - - [05/Jun/2023:15:48:50 +0900] "GET /cultureMemoProject/firstStep/start.jsp HTTP/1.1" 200 2828
